trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label,apparent_temperature,snow_depth,snowfall,us_aqi,weather_code,wind_gusts_10m_max,precipitation_probability_max,date_hiked,trail_conditions,road_conditions,snow,bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — April 22, 2024",MossyBoots42,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable,40,0,0,10,1,6,1,2024-04-22,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — May 1, 2025",WildflowerWatcher,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable,45,0,0,24,0,11,9,2025-05-01,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — March 14, 2025",CascadeCrest2024,All clear from bottom to top. Saw maybe 20 other hikers which felt manageable. Trailhead has a pit toilet that was clean and stocked. Trail surface is firm and dry. Don't forget sunscreen — it gets hot in the open sections.,hikeable,59,0,0,26,0,8,20,2025-03-14,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",,"Franklin Falls — February 17, 2026",CascadeCrest2024,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable,29,38,7,38,75,54,84,2026-02-17,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — October 11, 2025",WildflowerWatcher,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions,38,18,0,17,61,28,39,2025-10-11,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",4 out of 5 stars,"Chain Lakes Loop — March 17, 2025",WildflowerWatcher,Wonderful hiking today. Trail opens up at the top with stunning 360 degree views and absolutely no snow in sight. Recommend starting early to beat the afternoon heat. Trail is well-maintained and signed.,hikeable,38,0,0,14,0,9,19,2025-03-17,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",1 out of 5 stars,"Heliotrope Ridge — February 15, 2026",SnoqualmieSusan,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable,16,40,6,25,77,34,71,2026-02-15,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",1 out of 5 stars,"Ingalls Lake — December 15, 2024",PNWPeakBagger,Impassable. We found the TH gate chained shut — no access due to snow on the road. We tried hiking in from 2 miles back but the snow depth made it impossible without snowshoes. Not worth the effort currently.,not_hikeable,34,36,26,40,71,43,77,2024-12-15,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",3 out of 5 stars,"Mount Pilchuck — October 29, 2024",LakesAndPeaks,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions,35,26,0,11,63,30,38,2024-10-29,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — December 12, 2024",SummitSeeker_WA,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,37,0,0,13,2,16,9,2024-12-12,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — March 11, 2024",AlpineAdventurer,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable,41,0,0,29,1,14,5,2024-03-11,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,4 out of 5 stars,"Twin Falls — December 15, 2025",AlpineAdventurer,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable,43,0,0,5,0,7,6,2025-12-15,Mud on trail,Road suitable for all vehicles,Snow free,No bugs
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",,"Franklin Falls — March 13, 2024",WeekendWarriorWendy,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable,44,75,5,25,71,34,66,2024-03-13,Trail passable with caution,Road suitable for all vehicles,Snow free,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — February 13, 2025",BackcountryBridget,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions,39,25,1,13,51,11,36,2025-02-13,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",,"Ptarmigan Ridge — January 15, 2024",ClearCreekHiker,"The trail is buried and the road is closed. There was a recent mudslide that has blocked the access road. Additionally, significant avalanche debris was visible on the upper slopes. This trail is unsafe right now — wait it out.",not_hikeable,18,36,21,25,77,43,97,2024-01-15,Mud on trail,Road impassable/closed,Snow free,No bugs
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",1 out of 5 stars,"Mount Pilchuck — July 11, 2025",CascadeWanderer,"The trail is buried and the road is closed. There was a recent mudslide that has blocked the access road. Additionally, significant avalanche debris was visible on the upper slopes. This trail is unsafe right now — wait it out.",not_hikeable,45,2,0,28,71,33,95,2025-07-11,Mud on trail,Road impassable/closed,Snow free,Some bugs
Mount Si,https://www.wta.org/go-hiking/hikes/mount-si,Snoqualmie Region > North Bend Area,"8.0 miles, roundtrip","3,150 feet","3,900 feet",4 out of 5 stars,"Mount Si — December 24, 2024",WeekendWarriorWendy,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions,36,28,9,19,1,21,21,2024-12-24,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",,"Mailbox Peak — March 17, 2026",SnowpackSam,Conditions are dangerous. The trail above mile 2 is buried under 6 feet of wind-packed snow. The TH access road had downed trees blocking it — we had to turn around before even starting the hike.,not_hikeable,30,41,17,16,85,53,76,2026-03-17,"Heavy snow, trail buried",Road suitable for all vehicles,Continuous snow cover,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",5 out of 5 stars,"Heliotrope Ridge — February 8, 2026",MtBakerFan,Trail is in great shape today! Dry conditions from the TH all the way to the summit. No snow encountered anywhere on the route. Parking lot was about half full when I arrived around 9am. Highly recommend for a weekend outing.,hikeable,34,0,0,17,0,7,18,2026-02-08,Trail clear - no snow,Road suitable for all vehicles,Snow free,No bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — July 13, 2024",FernGullyHiker,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable,60,0,0,5,1,20,0,2024-07-13,Trail clear - no snow,Road suitable for all vehicles,Snow free,Some bugs
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",4 out of 5 stars,"Goat Lake — November 11, 2025",TrailConditionsTed,Road is open but the last 0.5 mile to TH was icy this morning. Trail itself alternates between clear and snowy sections. Above the lake everything was under a thin crust. Bring traction devices.,modest_conditions,41,21,0,48,51,16,46,2025-11-11,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",2 out of 5 stars,"Heliotrope Ridge — December 29, 2024",FernGullyHiker,"The TH road is closed by Forest Service order due to snow. Even on foot the access is sketchy — icy road, downed trees, and active snowmelt. The trail itself is under several feet of snow. Postpone your trip.",not_hikeable,18,60,30,38,77,44,65,2024-12-29,"Heavy snow, trail buried",Road impassable/closed,Continuous snow cover,No bugs
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",3 out of 5 stars,"Annette Lake — November 10, 2025",MtBakerFan,Mixed conditions depending on elevation. Lower forest trail is mud and roots — clear of snow. As you gain elevation you start hitting snow patches. By the time you reach the exposed ridge it was continuous snow. Microspikes a must.,modest_conditions,54,27,9,39,61,17,38,2025-11-10,Mud on trail,Road suitable for all vehicles,Patchy snow,No bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",3 out of 5 stars,"Maple Pass Loop — September 24, 2024",CascadeWanderer,Hiked this weekend. Trail is accessible but expect some snow in the upper half. The meadow section had about 6 inches of coverage which was manageable. Route finding was easy since the trail was still visible. Great day out.,modest_conditions,43,0,0,29,1,22,48,2024-09-24,Snow on trail,Road suitable for all vehicles,Patchy snow,No bugs
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",5 out of 5 stars,"Wallace Falls — February 17, 2025",PugetSoundTrails,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable,45,0,0,18,2,17,4,2025-02-17,Obstacles on trail: Trees down,Road suitable for all vehicles,Snow free,No bugs
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — May 27, 2025",SnowpackSam,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable,45,0,0,17,2,5,2,2025-05-27,Trail clear - no snow,Road suitable for high clearance,Snow free,No bugs
